video_time_seconds,zone1,zone2,zone3,total
0.0,17,2,11,47
0.03,17,2,11,47
0.07,17,2,11,47
0.1,17,2,11,47
0.13,17,2,11,46
0.16,17,2,10,48
0.2,18,4,10,51
0.23,17,4,10,50
0.26,17,4,11,51
0.29,18,4,11,52
0.33,16,4,11,49
0.36,16,4,11,48
0.39,16,3,9,46
0.43,16,3,9,44
0.46,15,3,8,43
0.49,15,4,8,43
0.52,16,4,8,42
0.56,17,4,7,42
0.59,17,4,7,42
0.62,17,4,7,42
0.66,16,4,7,41
0.69,16,2,7,39
0.72,15,2,7,38
0.75,16,2,7,39
0.79,17,3,7,41
0.82,17,3,6,41
0.85,18,3,8,43
0.88,16,3,8,41
0.92,16,3,8,40
0.95,16,3,8,41
0.98,16,3,8,40
1.02,16,3,8,40
1.05,17,3,8,41
1.08,17,3,8,41
1.11,17,3,8,41
1.15,17,3,9,41
1.18,18,3,8,42
1.21,18,3,9,42
1.25,19,3,8,41
1.28,19,3,7,39
1.31,20,3,6,38
1.34,20,3,7,38
1.38,20,4,8,39
1.41,19,4,9,42
1.44,17,4,10,41
1.47,18,4,10,42
1.51,17,3,9,39
1.54,16,3,9,39
1.57,16,3,9,38
1.61,16,4,9,39
1.64,16,4,10,39
1.67,17,4,10,40
1.7,18,4,12,43
1.74,18,4,10,43
1.77,17,4,9,43
1.8,18,4,10,45
1.83,18,4,10,44
1.87,18,4,9,44
1.9,18,4,9,44
1.93,18,3,10,44
1.97,18,3,10,45
2.0,18,1,10,44
2.03,18,1,10,45
2.06,18,1,11,46
2.1,18,1,10,45
2.13,18,1,10,45
2.16,19,1,11,47
2.2,20,1,12,47
2.23,20,1,12,47
2.26,20,1,12,47
2.29,20,1,11,47
2.33,20,1,13,48
2.36,19,2,13,47
2.39,19,2,12,46
2.42,19,1,11,44
2.46,18,1,11,44
2.49,18,1,10,42
2.52,18,1,11,43
2.56,18,1,9,41
2.59,18,1,9,41
2.62,18,1,8,40
2.65,18,1,9,40
2.69,18,1,9,42
2.72,18,1,9,42
2.75,16,1,7,39
2.79,17,1,8,40
2.82,18,1,8,39
2.85,17,1,8,40
2.88,17,1,8,40
2.92,17,1,8,40
2.95,14,0,8,36
2.98,14,0,8,36
3.01,12,0,7,33
3.05,13,0,8,35
3.08,13,2,7,37
3.11,14,3,7,39
3.15,12,3,7,37
3.18,13,3,9,39
3.21,13,3,10,40
3.24,13,3,11,42
3.28,13,3,11,41
3.31,13,3,12,43
3.34,14,3,12,45
3.38,14,3,12,45
3.41,14,3,12,46
3.44,14,3,13,46
3.47,14,3,13,47
3.51,13,3,12,45
3.54,15,3,12,46
3.57,15,3,9,42
3.6,15,3,9,41
3.64,15,3,10,40
3.67,14,3,11,40
3.7,15,3,11,41
3.74,16,2,10,40
3.77,16,3,10,41
3.8,16,3,10,41
3.83,15,3,10,40
3.87,14,3,9,39
3.9,14,3,9,38
3.93,13,4,10,40
3.96,12,4,10,39
4.0,12,4,10,39
4.03,12,5,10,40
4.06,11,5,9,40
4.1,11,5,10,41
4.13,11,5,9,42
4.16,11,5,9,43
4.19,11,4,9,42
4.23,11,4,9,42
4.26,14,4,9,44
4.29,14,4,8,42
4.33,14,4,8,42
4.36,16,4,8,44
4.39,16,3,8,43
4.42,17,3,8,43
4.46,16,2,9,41
4.49,15,2,8,40
4.52,14,2,9,41
4.55,15,3,8,41
4.59,14,3,9,40
4.62,14,5,8,40
4.65,15,6,8,40
4.69,16,7,9,43
4.72,15,8,9,45
4.75,17,8,9,44
4.78,18,8,8,45
4.82,18,8,8,45
4.85,18,8,8,46
4.88,18,7,8,46
4.92,18,7,6,46
4.95,16,6,7,45
4.98,14,6,7,43
5.01,14,5,7,42
5.05,15,5,7,44
5.08,15,5,7,44
5.11,17,4,7,43
5.14,16,4,7,43
5.18,17,2,7,42
5.21,16,3,6,42
5.24,16,2,7,42
5.28,15,4,7,44
5.31,14,5,7,42
5.34,14,5,7,44
5.37,14,5,7,43
5.41,14,4,6,42
5.44,14,4,6,44
5.47,16,4,6,45
5.5,16,4,7,44
5.54,14,4,7,42
5.57,14,4,7,44
5.6,14,4,7,44
5.64,14,4,7,43
5.67,15,4,7,45
5.7,15,3,8,43
5.73,15,3,7,41
5.77,15,3,8,43
5.8,16,2,8,41
5.83,15,2,8,41
5.87,17,2,8,41
5.9,16,2,7,40
5.93,15,2,7,39
5.96,14,2,9,40
6.0,14,3,10,39
6.03,15,3,10,39
6.06,15,2,9,37
6.09,15,2,9,36
6.13,16,2,9,37
6.16,17,2,9,37
6.19,17,2,8,37
6.23,16,2,8,37
6.26,16,2,8,37
6.29,14,2,8,36
6.32,15,3,8,38
6.36,13,3,9,39
6.39,13,4,9,40
6.42,14,4,9,40
6.46,15,4,9,41
6.49,15,4,9,41
6.52,15,4,10,41
6.55,16,4,11,43
6.59,16,4,11,43
6.62,15,4,11,42
6.65,15,4,10,40
6.68,16,4,11,43
6.72,15,4,11,42
6.75,15,4,10,42
6.78,15,3,10,41
6.82,15,3,10,40
6.85,15,3,10,40
6.88,14,3,11,42
6.91,13,3,11,41
6.95,14,3,11,42
6.98,13,3,11,40
7.01,13,3,10,39
7.05,13,3,10,39
7.08,15,3,10,41
7.11,13,4,11,41
7.14,16,4,12,44
7.18,16,4,10,42
7.21,16,4,10,42
7.24,15,4,10,41
7.27,16,4,9,41
7.31,17,3,9,41
7.34,16,3,8,40
7.37,15,3,8,39
7.41,14,3,8,39
7.44,14,3,8,39
7.47,14,3,9,40
7.5,15,3,10,40
7.54,15,3,9,42
7.57,14,3,9,42
7.6,16,3,9,42
7.63,17,3,9,43
7.67,18,3,9,45
7.7,21,3,9,48
7.73,21,3,9,48
7.77,21,3,10,49
7.8,20,3,11,48
7.83,19,3,11,47
7.86,19,4,11,48
7.9,18,4,11,47
7.93,19,4,11,48
7.96,20,4,11,47
8.0,18,3,11,43
8.03,16,3,10,42
8.06,17,3,9,42
8.09,17,4,9,43
8.13,17,3,9,41
8.16,17,3,9,41
8.19,18,3,9,44
8.22,17,2,8,41
8.26,17,2,9,42
8.29,17,2,8,41
8.32,17,1,9,41
8.36,17,1,9,41
8.39,19,2,8,44
8.42,19,2,8,43
8.45,20,2,9,45
8.49,19,2,9,44
8.52,20,2,9,44
8.55,20,2,8,44
8.59,21,2,9,46
8.62,19,2,9,45
8.65,19,2,9,45
8.68,19,2,9,45
8.72,19,2,9,45
8.75,19,2,9,45
8.78,19,2,10,45
8.81,19,2,11,47
8.85,18,2,11,45
8.88,19,2,11,45
8.91,20,2,10,46
8.95,22,2,10,47
8.98,22,1,10,47
9.01,22,1,10,47
9.04,19,1,9,43
9.08,20,1,10,45
9.11,20,1,10,44
9.14,22,1,10,45
9.17,23,1,10,46
9.21,23,1,11,47
9.24,22,1,11,46
9.27,22,1,9,44
9.31,21,1,9,43
9.34,20,1,10,44
9.37,20,1,10,43
9.4,21,1,10,43
9.44,21,1,10,42
9.47,21,1,10,43
9.5,21,1,10,44
9.54,23,1,10,47
9.57,23,1,9,45
9.6,22,1,10,46
9.63,22,1,9,46
9.67,21,1,10,45
9.7,21,1,12,45
9.73,23,1,14,49
9.76,24,1,14,50
9.8,25,1,14,50
9.83,24,1,13,48
9.86,21,1,13,44
9.9,23,1,12,46
9.93,22,1,12,46
9.96,21,2,11,47
9.99,21,2,11,45
10.03,22,1,11,43
10.06,21,1,11,42
10.09,20,1,11,41
10.13,21,1,13,45
10.16,20,1,12,43
10.19,21,1,12,44
10.22,21,1,13,46
10.26,22,1,12,45
10.29,22,1,13,46
10.32,21,1,13,45
10.35,22,1,14,47
10.39,22,1,12,46
10.42,24,1,12,48
10.45,24,1,11,48
10.49,24,1,11,48
10.52,23,1,12,49
10.55,23,1,12,50
10.58,23,1,13,50
10.62,23,1,13,50
10.65,23,1,13,49
10.68,23,1,13,49
10.71,23,1,13,50
10.75,24,1,14,52
10.78,24,1,14,52
10.81,24,1,14,52
10.85,25,1,13,52
10.88,26,1,11,50
10.91,26,1,11,49
10.94,25,1,11,49
10.98,24,0,12,48
11.01,23,0,12,46
11.04,24,0,12,47
11.08,24,0,12,47
11.11,24,1,11,49
11.14,24,1,11,48
11.17,25,1,11,50
11.21,25,1,11,48
11.24,25,2,11,49
11.27,24,1,11,47
11.3,22,1,12,47
11.34,22,1,12,46
11.37,21,1,13,45
11.4,21,0,13,43
11.44,21,1,13,44
11.47,21,1,12,44
11.5,21,1,12,43
11.53,21,1,13,43
11.57,22,1,13,45
11.6,22,2,13,46
11.63,22,2,13,46
11.67,21,2,13,45
11.7,21,2,13,45
11.73,21,2,13,44
11.76,20,2,13,43
11.8,18,1,13,41
11.83,18,0,13,39
11.86,19,0,14,42
11.89,20,0,14,42
11.93,21,0,14,43
11.96,22,0,12,42
11.99,22,1,11,43
12.03,21,1,11,42
12.06,21,1,13,45
12.09,21,2,14,46
12.12,20,2,12,45
12.16,20,2,11,44
12.19,19,2,12,43
12.22,18,2,11,42
12.26,18,1,11,41
12.29,18,0,11,39
12.32,19,1,11,41
12.35,17,1,10,40
12.39,16,1,11,40
12.42,16,1,10,39
12.45,17,1,11,40
12.48,17,1,9,39
12.52,18,1,9,40
12.55,18,1,9,40
12.58,18,1,10,42
12.62,17,1,10,41
12.65,18,1,9,42
12.68,20,1,10,44
12.71,20,1,9,43
12.75,19,1,9,42
12.78,18,1,9,41
12.81,18,1,9,41
12.84,20,1,9,43
12.88,19,1,9,39
12.91,18,1,9,39
12.94,18,1,8,38
12.98,17,1,9,37
13.01,18,0,9,37
13.04,19,0,8,36
13.07,20,0,8,39
13.11,19,1,7,38
13.14,19,1,7,39
13.17,18,1,7,38
13.21,18,1,6,37
13.24,20,1,6,38
13.27,21,1,8,41
13.3,21,1,7,42
13.34,22,1,7,43
13.37,22,3,7,47
13.4,23,3,6,47
13.43,23,4,6,48
13.47,21,4,6,46
13.5,21,2,6,43
13.53,22,2,7,45
13.57,20,2,6,41
13.6,21,2,6,43
13.63,19,2,9,44
13.66,19,1,9,43
13.7,19,3,7,44
13.73,20,3,7,46
13.76,21,3,8,48
13.8,20,3,8,47
13.83,19,3,9,45
13.86,19,3,11,45
13.89,19,3,11,45
13.93,19,3,11,44
13.96,19,2,10,43
13.99,19,2,9,43
14.02,22,2,9,47
14.06,22,2,8,46
14.09,22,2,9,46
14.12,22,2,9,45
14.16,22,2,9,45
14.19,22,3,7,44
14.22,21,3,8,44
14.25,22,3,8,45
14.29,20,3,7,43
14.32,20,3,8,45
14.35,20,3,8,45
14.38,20,2,8,43
14.42,21,2,8,46
14.45,20,2,8,45
14.48,22,2,7,45
14.52,21,1,6,43
14.55,22,1,7,44
14.58,22,0,9,45
14.61,22,0,9,46
14.65,20,0,10,45
14.68,20,1,9,46
14.71,20,2,9,47
14.75,20,2,9,46
14.78,19,2,9,43
14.81,19,2,8,44
14.84,19,2,8,44
14.88,19,2,9,44
14.91,19,2,9,44
14.94,19,2,9,44
14.97,19,2,10,45
15.01,18,3,10,45
15.04,18,1,9,43
15.07,13,1,10,39
15.11,16,0,9,40
15.14,16,0,10,42
15.17,17,0,9,41
15.2,17,0,10,41
15.24,15,0,9,38
15.27,16,0,9,38
15.3,17,0,9,39
15.34,17,0,9,39
15.37,18,1,11,43
15.4,17,1,11,42
15.43,18,1,11,42
15.47,18,1,11,43
15.5,18,0,11,42
15.53,17,0,11,41
15.56,16,0,10,39
15.6,16,0,11,40
15.63,16,0,10,38
15.66,18,0,11,41
15.7,19,0,11,42
15.73,19,1,11,43
15.76,21,1,10,44
15.79,20,1,11,43
15.83,21,2,8,43
15.86,21,2,9,45
15.89,21,2,9,45
15.93,21,2,10,46
15.96,21,2,10,46
15.99,22,2,10,47
16.02,23,2,10,49
16.06,22,2,10,49
16.09,24,2,9,51
16.12,24,2,9,50
16.15,23,1,9,48
16.19,20,1,9,46
16.22,18,1,9,45
16.25,17,1,9,44
16.29,18,1,9,45
16.32,20,1,10,48
16.35,18,1,11,47
16.38,18,1,12,48
16.42,19,1,11,48
16.45,20,1,11,48
16.48,19,1,10,47
16.51,19,1,10,46
16.55,19,1,9,45
16.58,19,1,10,46
16.61,19,1,10,46
16.65,19,1,10,44
16.68,20,1,11,46
16.71,19,1,11,44
16.74,19,1,11,45
16.78,19,1,11,45
16.81,20,1,11,46
16.84,20,1,11,47
16.88,20,1,10,47
16.91,20,1,10,46
16.94,18,1,10,45
16.97,17,1,10,45
17.01,15,1,10,44
17.04,15,1,10,44
17.07,14,1,9,42
17.1,15,1,8,42
17.14,15,1,8,42
17.17,15,1,7,42
17.2,15,1,8,42
17.24,16,1,8,43
17.27,16,1,8,44
17.3,17,1,8,43
17.33,19,1,9,45
17.37,19,1,10,46
17.4,19,1,11,47
17.43,19,1,11,47
17.47,19,0,10,46
17.5,20,0,10,47
17.53,20,0,10,47
17.56,20,0,10,47
17.6,20,0,10,46
17.63,21,1,9,47
17.66,22,1,10,49
17.69,21,1,10,48
17.73,22,1,9,48
17.76,20,1,9,45
17.79,21,1,9,46
17.83,18,2,9,45
17.86,17,1,9,44
17.89,18,1,9,44
17.92,19,1,9,45
17.96,18,1,9,45
17.99,18,1,9,45
18.02,18,1,9,45
18.05,17,1,9,44
18.09,17,1,9,45
18.12,16,0,9,42
18.15,16,0,9,42
18.19,16,0,9,41
18.22,17,0,9,42
